"bylaw_id","highway","between","failed_reason","resaon"
6253,"Jim Samuel Lane (easterly east-west leg)","Jim Samuel Lane (north-south leg) and Lawlor Avenue",5,"the intersections could not be routed"
6364,"Brooklawn Avenue","Barkdene Hills and Sunnypoint Crescent (south intersection)",5,"the intersections could not be routed"
1400,"Firgrove Crescent","A point 120 metres west of Petiole Road and Jane Street (south intersection)",7,"no results for this case2 due to 1st argument isnt a line"
2204,"Lake Shore Boulevard East","A point 100 metres east of Lower Jarvis Street and Coxwell Avenue",7,"no results for this case2 due to 1st argument isnt a line"
2205,"Lake Shore Boulevard West","Humber River and a point 100 metres west of Spadina Avenue",7,"no results for this case2 due to 1st argument isnt a line"
3118,"Rexdale Boulevard","Highway 427 and a point 213 metres west of Islington Avenue",7,"no results for this case2 due to 1st argument isnt a line"
3659,"Symes Road","A point 194.7 metres east of Terry Drive and Orman Avenue",7,"no results for this case2 due to 1st argument isnt a line"
5925,"Redway Road","Millwood Road and a point 709.83 metres south",7,"no results for this case2 due to 1st argument isnt a line"
6429,"Merritt Road","A point 66.54 metres north of Valor Boulevard and St. Clair Avenue East",7,"no results for this case2 due to 1st argument isnt a line"
6451,"Topham Road","Tiago Avenue and a point 70.20 metres south of Valor Boulevard",7,"no results for this case2 due to 1st argument isnt a line"
180,"Aylesworth Avenue","Midland Avenue and a point 94.8 metres southwest of Phillip Avenue",8,"no results for this case2 due to 2nd argument isnt within [0,1]"
920,"Cranbrooke Avenue","Barse Street and a point 150 metres east of Grey Road",8,"no results for this case2 due to 2nd argument isnt within [0,1]"
2354,"Lonsmount Drive","Bathurst Street and a point 49.6 metres south of Montclair Avenue",8,"no results for this case2 due to 2nd argument isnt within [0,1]"
2541,"Meadowvale Drive","Kenway Road and 97 metres east of Durban Road",8,"no results for this case2 due to 2nd argument isnt within [0,1]"
3037,"Queen Street East","90 metres west of Victoria Park Avenue and Fallingbrook Road",8,"no results for this case2 due to 2nd argument isnt within [0,1]"
3746,"Topcliff Avenue","A point 30 metres east of Demaris Avenue and Driftwood Avenue",8,"no results for this case2 due to 2nd argument isnt within [0,1]"
5309,"Paton Road","Symington Avenue and a point 35.9 metres east of Rankin Crescent",8,"no results for this case2 due to 2nd argument isnt within [0,1]"
5909,"Hillside Drive","A point 76 metres south of Gamble Avenue and a point 121.89 metres north of Don Valley Drive",8,"no results for this case2 due to 2nd argument isnt within [0,1]"
6278,"Trent Avenue","Danforth Avenue and a point 18.9 metres south of Ice Cream Lane (east intersection)",8,"no results for this case2 due to 2nd argument isnt within [0,1]"
6428,"Meighen Avenue","A point 42.86 metres south of Medhurst Road and Victoria Park Avenue",8,"no results for this case2 due to 2nd argument isnt within [0,1]"
1898,"Hillhurst Boulevard","Avenue Road and a point 19.7 metres west of Proudfoot Avenue",9,"no results for this case2 due to 3rd argument isnt within [0,1]"
2050,"Japonica Road","Crosland Drive and a point 48 metres east of White Abbey Park",9,"no results for this case2 due to 3rd argument isnt within [0,1]"
2633,"Moore Avenue","Mount Pleasant Road and a point 139.9 metres east of Welland Avenue",9,"no results for this case2 due to 3rd argument isnt within [0,1]"
3077,"Rathburn Road","A point 91.5 metres west of The West Mall and a point 50.5 metres west of Melbert Road",9,"no results for this case2 due to 3rd argument isnt within [0,1]"
4773,"Craven Road","Gerrard Street East and a point 300.7 metres north of Fairford Avenue",9,"no results for this case2 due to 3rd argument isnt within [0,1]"
4802,"Leslie Street","Queen Street East and a point 50.7 metres north of Ivy Avenue",9,"no results for this case2 due to 3rd argument isnt within [0,1]"
4821,"Rhodes Avenue","Gerrard Street East and a point 312.6 metres north of Fairford Avenue",9,"no results for this case2 due to 3rd argument isnt within [0,1]"
4941,"Ryerson Avenue","Queen Street West and a point 86.57 metres north of Carr Street",9,"no results for this case2 due to 3rd argument isnt within [0,1]"
5375,"Roblocke Avenue","Irene Avenue and a point 104 metres north of Leeds Street",9,"no results for this case2 due to 3rd argument isnt within [0,1]"
5485,"Bond Avenue","Leslie Street and a point 65 metres east of Scarsdale Road",9,"no results for this case2 due to 3rd argument isnt within [0,1]"
5674,"James Street","Queen Street West and a point 97.32 metres north of Albert Street",9,"no results for this case2 due to 3rd argument isnt within [0,1]"
6869,"The Queensway","A point 454 metres west of The West Mall and Kipling Avenue",9,"no results for this case2 due to 3rd argument isnt within [0,1]"
1632,"Glenview Avenue","Yonge Street and a point 36.3 metres west of Glen Castle Street.",10,"bylaws failed at the final stage"
